book name,book_id,Likutei Shoshanim_id,link_to_nli_page,title,type,record_id,language_nli,publisher,format,thumbnail,link_to_marc,subject,contributors,vertitle-yivo,institution-yivo,delcategory-yivo,creator-yivo,creationdate-yivo,lds29-yivo,availinstitution-yivo,subject-yivo,format-yivo,availlibrary-yivo,language-yivo,type-yivo,title-yivo,version-yivo,contributor-yivo,publisher-yivo,availpnx-yivo,lds10-yivo,lds01-yivo,unititle-yivo,lds03-yivo
עצת חכמים,990012785880205171,,https://www.nli.org.il/en/books/NNL_ALEPH990012785880205171,ספר מראה האופנים / אשר טפחתי ורביתי אני ... רפאל שלמה ן' ... חיים מורדוך ...,book,990012785880205171,heb,שאלוניקי : דפוס יתמי בצלאל הלוי אשכנזי,"[5], צד; יא דפים ; 8.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE86085720,https://iiif.nli.org.il/IIIFv21/marc/bib/990012785880205171,"Jewish philosophy -- Middle Ages, 500-1500; Jewish sermons, Hebrew",,,,,,,,,,,,,,,,,,,,,,
חי' חמדת שלמה ,990019814560205171,,https://www.nli.org.il/en/books/NNL_ALEPH990019814560205171,"חידושי חמדת שלמה : והוא חמדה גנוזה ... מהדורא תנינא על קידושין ועל כמה סוגיות הש""ס ... / מאת ... רבינו ... שלמה זלמן אב""ד ור""מ דפה ווארשא ... ; העתקתי מעצם כתי""ק ... אברהם דובעריש ... מענדלזאהן ...",book,990019814560205171,heb,ווארשא : דפוס האחים שולדבערג,"לב דפים ; 28 ס""מ.",,https://iiif.nli.org.il/IIIFv21/marc/bib/990019814560205171,Talmud Bavli. Kodashim -- Commentaries,"מנדלסון, אברהם דב בריש; מנדלסון, אברהם דב בריש",,,,,,,,,,,,,,,,,,,,,
דניאל דירונדא ,990011800810205171,,https://www.nli.org.il/en/books/NNL_ALEPH990011800810205171,דניאל דירונדה / ספור כתוב אנגלית ביד ג'יארג' אליוט ; ונעתק לעברית על ידי דוד פרישמאנן.,book,990011800810205171,heb,ווארשא : אחיאסף,"4 כרכים ([1], 774 עמודים) ; 16 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE22386236,https://iiif.nli.org.il/IIIFv21/marc/bib/990011800810205171,Fiction -- Translations into Hebrew,"פרישמן, דוד, 1859-1922; פרישמן, דוד, 1859-1922",,,,,,,,,,,,,,,,,,,,,
הדור ,990018731420205171,,,הדור יוצא אחת בשבוע.,journal,990018731420205171,heb,קראקא : י' פישער,3 כרכים.,,https://iiif.nli.org.il/IIIFv21/marc/bib/990018731420205171,Literature -- Periodicals,,אלה דברי הברית : קובץ החרמות ופסקי ההלכות נגד ראשוני הרפורמים בהמבורג : כולל אגרותיהם של גדולי הדור.,CJH,Online Resource,,1819,CJH_ALEPH000004605,$$ICJH$$Savailable,Reform Judaism -- Germany,"xvi, 132 pages ; 25 cm",$$ICJH$$LYIVOL$$1Rabbinic Collection$$2(וו/13א־ 68)$$Savailable$$31$$40$$5N$$60$$XCJH50$$YYIVOL$$ZYIRAB,heb,book,"Sefer eleh divre ha-berit : ḳovets ha-ḥaramot u-fisḳe ha-halakhot neged rishone ha-Reformim be-Hamburg kolel igrotehem shel gedole ha-dor, ha-Ḥatam Sofer, Aḳiva Eger u-sheʼar ḥakhme Yiśraʼel.",1,"Hamburg (Germany). Bet Din Tsedek.; This book was digitized as part of the Edward Blank YIVO Vilna Online Collections Project, a 7-year international project to preserve, digitize, and virtually reunite YIVO's prewar library and archival collections located in New York City and Vilnius, Lithuania, through a dedicated web portal.","Altoona : Shmuel vi-Yehudah Bun, 1819.; אלטונא : שמואל ויהודה בון, תקע״ט.",available,"Digital images of this item may be used for personal, research and educational purposes only. Publication (including posting on the Internet and online exhibitions) or any other use without prior authorization is prohibited. Please visit https://www.yivo.org/Rights-Reproductions for more information about use of materials from this website.",YIVO,Eleh divre ha-beritr,וו/13א־ 68
"האסיף- תרמ""ה ",990018453860205171,,,"האסיף לתקופת השנה ... מקדש לתורה ולחכמה, למחקר לבקרת לעניני הדת ולעניני העם ... יפרד בכלל לשני ראשים: אוצר הידיעות ... אוצר הספרות ... לוח שנתי ... / הכינו וגם חברו בעזרת גדולי סופרי הדור נחום סאקאלאוו.",journal,990018453860205171,heb,ווארשא : דפוס יצחק גאלדמאן,6 כרכים (שנה א-ו) ; 8.,https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE19147920,https://iiif.nli.org.il/IIIFv21/marc/bib/990018453860205171,"Almanacs, Hebrew -- Poland","סוקולוב, נחום, 1859-1936; סוקולוב, נחום, 1859-1936",האסיף : לתקופת השנה.,CJH,Online Resource,,1884,CJH_ALEPH000302259,$$ICJH$$Savailable,Jewish almanacs -- Poland,volumes,$$ICJH$$LYIVOL$$1YIVO Vilna Collection$$2(000000598)$$Savailable$$31$$40$$5N$$60$$XCJH50$$YYIVOL$$ZYIVIL,heb,se,"Asif (Warsaw, Poland)",1,"Nahum Sokolow 1859-1936; This book was digitized as part of the Edward Blank YIVO Vilna Online Collections Project, a 7-year international project to preserve, digitize, and virtually reunite YIVO's prewar library and archival collections located in New York City and Vilnius, Lithuania, through a dedicated web portal.","Ṿarshah : [ḥ. mo. l.],.; ווארשא : [חמו""ל]",available,"Digital images of this item may be used for personal, research and educational purposes only. Publication (including posting on the Internet and online exhibitions) or any other use without prior authorization is prohibited. Please visit https://www.yivo.org/Rights-Reproductions for more information about use of materials from this website.",YIVO,"Asif (Warsaw, Poland)",598
קרן אורה. זבחים,990012188690205171,,https://www.nli.org.il/en/books/NNL_ALEPH990012188690205171,"ספר קרן אורה : והוא חדושי הלכות על מסכת זבחים ומעילה / חברו הרב ... יצחק אבד""ק קארלין ...",book,990012188690205171,heb,ווילנא : יוסף ראובן ראם,"[2], פד דפים ; 34 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE153142460,https://iiif.nli.org.il/IIIFv21/marc/bib/990012188690205171,Talmud Bavli. Me'ilah -- Commentaries; Talmud Bavli. Zevahim -- Commentaries,,,,,,,,,,,,,,,,,,,,,,
"כנור נעים. שד""ל",990001765070205171,,https://www.nli.org.il/en/manuscripts/NNL_ALEPH990001765070205171,כנור נעים (קטע) : מחזה.,manuscript,990001765070205171,heb,,8 דף,https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE56938483,https://iiif.nli.org.il/IIIFv21/marc/bib/990001765070205171,,,,,,,,,,,,,,,,,,,,,,,
"ישעיה- מלבי""ם",990020640430205171,,https://www.nli.org.il/en/books/NNL_ALEPH990020640430205171,"נביאים וכתובים : עם פירוש רש""י ופי' ... מקראי קדש / להרב ... מאיר ליבוש מלבי""ם ... ואלה מוסיף על הראשונים: א. הוספות ותקונים מהגאון המחבר. -- ב. מצודת דוד ומצודת ציון. -- ג. תולדות אהרן. -- עיני שמואל ... ציונים בירושלמי וזהר ...",book,990020640430205171,heb,ווילנא : ראם,"12 כרכים ב-6 (כרך א-יב) ; 24 ס""מ.",https://rosetta.nli.org.il/delivery/DeliveryManagerServlet?dps_func=thumbnail&dps_pid=IE104237986,https://iiif.nli.org.il/IIIFv21/marc/bib/990020640430205171,Bible -- Commentaries,"מלבים, מאיר ליבוש, 1809-1879; מלבים, מאיר ליבוש, 1809-1879",,,,,,,,,,,,,,,,,,,,,
"""Русскiй Еврей"" 1880 г.",9900053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"פנקס (כת""י)",9900054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
